    41/149     3.44G   0.04397   0.03629   0.02234    0.1026        14       640    0.4721    0.7326     0.675    0.3821   0.03558   0.02153    0.0102
    42/149     3.44G   0.04363   0.03566   0.02246    0.1018        18       640    0.4814    0.7361    0.6839    0.3907   0.03523   0.02132  0.009931
    43/149     3.44G   0.04344   0.03613   0.02241     0.102        28       640    0.4594    0.7492    0.6854    0.3907   0.03504   0.02138  0.009665
    44/149     3.44G   0.04343   0.03587   0.02153    0.1008         8       640    0.4777    0.7469    0.6892    0.3939   0.03484   0.02123  0.009551
    45/149     3.44G   0.04363   0.03573   0.02196    0.1013        13       640    0.4644    0.7588    0.6946     0.399   0.03468   0.02121  0.009361
    46/149     3.44G   0.04328   0.03567   0.02182    0.1008        17       640    0.4757     0.762    0.7003    0.4045   0.03447    0.0211  0.009248
    47/149     3.44G   0.04282   0.03518   0.02069   0.09869        15       640    0.4793    0.7635    0.7064    0.4089   0.03422   0.02096  0.008966
    48/149     3.44G   0.04266   0.03565   0.02076   0.09908        28       640    0.4673    0.7746    0.7127    0.4153   0.03396   0.02088  0.008463
    49/149     3.44G   0.04267   0.03545   0.02094   0.09906        16       640    0.4761    0.7738    0.7179    0.4191   0.03379   0.02076    0.0084
    50/149     3.44G   0.04252   0.03532   0.02042   0.09825        24       640    0.4811    0.7784    0.7223    0.4242   0.03362   0.02073  0.008196
    51/149     3.44G   0.04242   0.03518   0.02017   0.09777        14       640    0.4898    0.7794    0.7251    0.4267   0.03348   0.02062  0.008098
    52/149     3.44G   0.04224   0.03555   0.01975   0.09754        14       640    0.4941    0.7825     0.728    0.4301   0.03326    0.0205   0.00783
    53/149     3.44G   0.04193   0.03507   0.01988   0.09689         7       640    0.4895    0.7892    0.7329    0.4349   0.03307    0.0204  0.007667
    54/149     3.44G   0.04197   0.03514    0.0195   0.09661        17       640    0.4943     0.795    0.7381    0.4389   0.03294   0.02031  0.007524
    55/149     3.44G   0.04209   0.03462   0.01947   0.09618        17       640    0.4882    0.7983    0.7428    0.4447   0.03277   0.02026  0.007335
    56/149     3.44G   0.04178    0.0349   0.01959   0.09627        16       640    0.4897    0.8019    0.7461    0.4488   0.03264    0.0202  0.007131
    57/149     3.44G   0.04132   0.03474   0.01892   0.09499        16       640    0.4888    0.8044    0.7527    0.4546   0.03244   0.02013  0.006915
    58/149     3.44G   0.04137   0.03475   0.01911   0.09524        21       640    0.4929    0.8099    0.7564     0.457   0.03232   0.02005  0.006802
    59/149     3.44G   0.04131   0.03489   0.01859   0.09478        18       640    0.4968    0.8151    0.7621    0.4621   0.03223   0.01998  0.006661
    60/149     3.44G   0.04103   0.03474   0.01833    0.0941        24       640     0.496    0.8226    0.7657    0.4656   0.03205   0.01991  0.006501
    61/149     3.44G   0.04099   0.03437   0.01867   0.09403        20       640    0.4977    0.8234    0.7685    0.4684   0.03191   0.01982  0.006364
    62/149     3.44G   0.04063   0.03439   0.01782   0.09284        14       640    0.5022    0.8225    0.7707    0.4726   0.03181   0.01974  0.006236
    63/149     3.44G   0.04078   0.03458   0.01788   0.09324        21       640    0.5028    0.8255    0.7727    0.4751   0.03167   0.01967  0.006111
    64/149     3.44G   0.04073   0.03449   0.01772   0.09293        28       640    0.5042    0.8276    0.7761    0.4793   0.03152   0.01957  0.005959
    65/149     3.44G   0.04048    0.0342   0.01802   0.09269        12       640    0.5051    0.8308    0.7797    0.4814    0.0314    0.0195  0.005845
    66/149     3.44G   0.04052   0.03421   0.01766   0.09239        16       640    0.5039    0.8341    0.7833    0.4843    0.0313   0.01946  0.005739
    67/149     3.44G   0.03999   0.03366   0.01731   0.09097        32       640    0.5063    0.8382    0.7867    0.4861   0.03119   0.01941   0.00563
    68/149     3.44G   0.04005   0.03444   0.01708   0.09157        14       640    0.5073    0.8383    0.7894    0.4895    0.0311   0.01934  0.005555
    69/149     3.44G   0.04003   0.03395   0.01732    0.0913        11       640     0.508    0.8419    0.7925    0.4923   0.03093   0.01928  0.005456
    70/149     3.44G    0.0397   0.03404   0.01699   0.09074        14       640    0.5065    0.8436    0.7945    0.4948   0.03081   0.01923  0.005374
    71/149     3.44G   0.03969   0.03387   0.01702   0.09057        29       640    0.5067    0.8447    0.7967    0.4971   0.03072   0.01918  0.005291
    72/149     3.44G   0.03989   0.03373   0.01715   0.09077        15       640     0.509     0.849    0.7996    0.5007    0.0306   0.01913  0.005207
    73/149     3.44G   0.03936   0.03361   0.01654    0.0895        18       640    0.5108    0.8523    0.8014    0.5025    0.0305   0.01908  0.005122
    74/149     3.44G   0.03936   0.03353   0.01637   0.08926         9       640     0.514    0.8524    0.8031    0.5052   0.03037   0.01902   0.00504
    75/149     3.44G   0.03902   0.03355   0.01608   0.08866        19       640    0.5168    0.8546    0.8063    0.5077   0.03025   0.01896  0.004957
