    40/149     8.46G   0.04464    0.0359    0.0237    0.1042        13       640    0.4515    0.7154    0.6491    0.3622   0.03649   0.02194   0.01122
    41/149     8.46G   0.04471   0.03667     0.024    0.1054        16       640     0.458    0.7204    0.6535     0.365   0.03634   0.02184   0.01098
    42/149     8.46G   0.04463   0.03637   0.02383    0.1048        11       640    0.4467    0.7301    0.6581     0.371   0.03583   0.02186   0.01072
    43/149     8.46G   0.04423   0.03636   0.02324    0.1038        10       640    0.4667    0.7292    0.6657    0.3775   0.03567   0.02167   0.01049
    44/149     8.46G     0.044   0.03626   0.02285    0.1031        15       640    0.4665    0.7366    0.6742    0.3841   0.03541   0.02153   0.01009
    45/149     8.46G   0.04378   0.03599   0.02295    0.1027        20       640    0.4504    0.7416    0.6766    0.3872   0.03522   0.02156  0.009949
    46/149     8.46G   0.04349   0.03577   0.02242    0.1017        17       640    0.4702    0.7462    0.6854    0.3937   0.03497   0.02136  0.009541
    47/149     8.46G    0.0434   0.03605   0.02235    0.1018        20       640    0.4613    0.7494    0.6886    0.3977   0.03474   0.02134  0.009409
    48/149     8.46G   0.04336   0.03568   0.02188    0.1009        19       640     0.465    0.7584    0.6969    0.4054   0.03452   0.02117  0.009162
    49/149     8.46G   0.04337   0.03602   0.02173    0.1011        21       640    0.4648    0.7628    0.7005    0.4077   0.03431   0.02115  0.009079
    50/149     8.46G   0.04283   0.03569   0.02197    0.1005        18       640    0.4731    0.7651    0.7078    0.4149   0.03416   0.02102  0.008851
    51/149     8.46G   0.04296   0.03541    0.0216   0.09997        20       640     0.475    0.7657    0.7086    0.4131   0.03407   0.02097  0.008723
    52/149     8.46G    0.0427   0.03511    0.0212     0.099        21       640    0.4691     0.776    0.7135    0.4182   0.03393   0.02092  0.008528
    53/149     8.46G   0.04276   0.03584   0.02114   0.09974        13       640    0.4742    0.7775    0.7165    0.4228    0.0337   0.02081  0.008376
    54/149     8.46G   0.04276   0.03545   0.02085   0.09907        26       640    0.4718    0.7809    0.7212    0.4249   0.03359   0.02071  0.008102
    55/149     8.46G   0.04241   0.03526    0.0205   0.09816        15       640    0.4747    0.7894    0.7265    0.4309   0.03341   0.02066  0.007935
    56/149     8.46G    0.0423   0.03529   0.02017   0.09777         7       640     0.477    0.7906    0.7315    0.4357   0.03318    0.0205  0.007771
    57/149     8.46G    0.0421   0.03534   0.02031   0.09776        18       640    0.4788    0.7955    0.7364    0.4389   0.03298   0.02043  0.007632
    58/149     8.46G   0.04211   0.03541   0.02005   0.09757        28       640    0.4818    0.7977    0.7402    0.4435   0.03276   0.02035  0.007398
    59/149     8.46G   0.04165   0.03515   0.01982   0.09661        20       640    0.4834    0.8027    0.7429     0.448   0.03264   0.02031  0.007276
    60/149     8.46G   0.04153   0.03509   0.01949   0.09612        13       640    0.4854    0.8078    0.7473    0.4516   0.03254   0.02026   0.00719
    61/149     8.46G   0.04172   0.03488    0.0199    0.0965        14       640    0.4895    0.8075    0.7497     0.454   0.03239   0.02014  0.007097
    62/149     8.46G    0.0415   0.03483   0.01927    0.0956        23       640    0.4914    0.8103    0.7531    0.4566   0.03226   0.02009  0.006938
    63/149     8.46G   0.04133   0.03487   0.01924   0.09544        18       640    0.4929    0.8123    0.7566    0.4604   0.03212   0.02001  0.006808
    64/149     8.46G   0.04151   0.03483   0.01909   0.09543        23       640    0.4909    0.8168    0.7599    0.4639   0.03202   0.01997  0.006711
    65/149     8.46G   0.04135   0.03454   0.01886   0.09474        20       640    0.4902    0.8182    0.7643    0.4666    0.0319   0.01989  0.006594
    66/149     8.46G   0.04082   0.03468    0.0185   0.09401        17       640    0.4918    0.8207     0.767    0.4704   0.03181   0.01982  0.006485
    67/149     8.46G   0.04081   0.03449   0.01894   0.09424        13       640    0.4973    0.8217    0.7708    0.4733   0.03172   0.01973  0.006351
    68/149     8.46G   0.04077   0.03439    0.0184   0.09355        13       640    0.4994    0.8219     0.773    0.4763   0.03161   0.01966  0.006222
    69/149     8.46G   0.04029   0.03429   0.01797   0.09256        23       640    0.5012    0.8227    0.7753    0.4788   0.03149   0.01959  0.006135
    70/149     8.46G   0.04049   0.03412    0.0183   0.09291        14       640    0.5031    0.8258    0.7788    0.4813   0.03138   0.01954  0.006045
    71/149     8.46G   0.04039   0.03423   0.01801   0.09263        17       640    0.5013    0.8298    0.7815    0.4836   0.03124    0.0195  0.005939
    72/149     8.46G   0.04013     0.034    0.0181   0.09222        16       640    0.5026    0.8312    0.7851    0.4863   0.03114   0.01944  0.005831
    73/149     8.46G   0.04011   0.03406   0.01746   0.09163        12       640    0.5031    0.8325    0.7871    0.4889   0.03104   0.01939  0.005741
    74/149     8.46G   0.03971   0.03376   0.01794   0.09141        13       640    0.5016     0.833     0.789    0.4912   0.03096   0.01935  0.005669
    75/149     8.46G   0.03989   0.03441   0.01762   0.09191        19       640    0.5033    0.8361    0.7911    0.4939   0.03089    0.0193  0.005577
